Name,Year,Win,Loose,Win_Difference
Boston Bruins,1990,44,24,20
Buffalo Sabres,1990,31,30,1
Calgary Flames,1990,46,26,20
Chicago Blackhawks,1990,49,23,26
Detroit Red Wings,1990,34,38,-4
Edmonton Oilers,1990,37,37,0
Hartford Whalers,1990,31,38,-7
Los Angeles Kings,1990,46,24,22
Montreal Canadiens,1990,39,30,9
New Jersey Devils,1990,32,33,-1
New York Rangers,1990,36,31,5
Philadelphia Flyers,1990,33,37,-4
Pittsburgh Penguins,1990,41,33,8
St. Louis Blues,1990,47,22,25
Washington Capitals,1990,37,36,1
Boston Bruins,1991,36,32,4
Buffalo Sabres,1991,31,37,-6
Calgary Flames,1991,31,37,-6
Chicago Blackhawks,1991,36,29,7
Detroit Red Wings,1991,43,25,18
Edmonton Oilers,1991,36,34,2
Los Angeles Kings,1991,35,31,4
Minnesota North Stars,1991,32,42,-10
Montreal Canadiens,1991,41,28,13
New Jersey Devils,1991,38,31,7
New York Islanders,1991,34,35,-1
New York Rangers,1991,50,25,25
Philadelphia Flyers,1991,32,37,-5
Pittsburgh Penguins,1991,39,32,7
St. Louis Blues,1991,36,33,3
Vancouver Canucks,1991,42,26,16
Washington Capitals,1991,45,27,18
Winnipeg Jets,1991,33,32,1
Boston Bruins,1992,51,26,25
Buffalo Sabres,1992,38,36,2
Calgary Flames,1992,43,30,13
Chicago Blackhawks,1992,47,25,22
Detroit Red Wings,1992,47,28,19
Los Angeles Kings,1992,39,35,4
Minnesota North Stars,1992,36,38,-2
Montreal Canadiens,1992,48,30,18
New Jersey Devils,1992,40,37,3
New York Islanders,1992,40,37,3
New York Rangers,1992,34,39,-5
Philadelphia Flyers,1992,36,37,-1
Pittsburgh Penguins,1992,56,21,35
Quebec Nordiques,1992,47,27,20
St. Louis Blues,1992,37,36,1
Toronto Maple Leafs,1992,44,29,15
Vancouver Canucks,1992,46,29,17
Washington Capitals,1992,43,34,9
Winnipeg Jets,1992,40,37,3
Mighty Ducks of Anaheim,1993,33,46,-13
Boston Bruins,1993,42,29,13
Buffalo Sabres,1993,43,32,11
Calgary Flames,1993,42,29,13
Chicago Blackhawks,1993,39,36,3
Dallas Stars,1993,42,29,13
Detroit Red Wings,1993,46,30,16
Florida Panthers,1993,33,34,-1
Montreal Canadiens,1993,41,29,12
New Jersey Devils,1993,47,25,22
New York Islanders,1993,36,36,0
New York Rangers,1993,52,24,28
Philadelphia Flyers,1993,35,39,-4
Pittsburgh Penguins,1993,44,27,17
Quebec Nordiques,1993,34,42,-8
San Jose Sharks,1993,33,35,-2
St. Louis Blues,1993,40,33,7
Toronto Maple Leafs,1993,43,29,14
Vancouver Canucks,1993,41,40,1
Washington Capitals,1993,39,35,4
Detroit Red Wings,1994,33,11,22
Mighty Ducks of Anaheim,1995,35,39,-4
Boston Bruins,1995,40,31,9
Buffalo Sabres,1995,33,42,-9
Calgary Flames,1995,34,37,-3
Chicago Blackhawks,1995,40,28,12
Colorado Avalanche,1995,47,25,22
Detroit Red Wings,1995,62,13,49
Florida Panthers,1995,41,31,10
Hartford Whalers,1995,34,39,-5
Montreal Canadiens,1995,40,32,8
New Jersey Devils,1995,37,33,4
